abat-jour	 abatjour
à-coups	 àcoups
aide-médecin	 aidemédecin
aides-soignants	 aidessoignants
amour-propre	 amourpropre
amuse-gueules	 amusegueules
années-lumière	 annéeslumière
après-demain	 aprèsdemain
après-guerre	 aprèsguerre
après-midi	 aprèsmidi
arc-bouta	 arcbouta
arc-bouté 	 arcbouté 
arc-en-ciel	 arcenciel
arcs-en-ciel	 arcsenciel
arrache-pied	 arrachepied
arrière-boutique	 arrièreboutique
arrière-cour	 arrièrecour
arrière-cours	 arrièrecours
arrière-goût	 arrièregoût
arrière-grand-mère	 arrièregrandmère
arrière-grand-père	 arrièregrandpère
arrière-pays	 arrièrepays
arrière-plan	 arrièreplan
arrière-train	 arrièretrain
attaché-case	 attachécase
au-dehors	 audehors
au-delà	 audelà
au-dessous	 audessous
au-dessus	 audessus
au-devant	 audevant
au revoir	 aurevoir
avant-bras	 avantbras
avant-coureur	 avantcoureur
avant-coureurs	 avantcoureurs
avant-dernière	 avantdernière
avant-garde	 avantgarde
avant-goût	 avantgoût
avant-guerre	 avantguerre
avant-hier	 avanthier
avant-poste	 avantposte
avant-toits	 avanttoits
avant-veille	 avantveille
baby-sitter	 babysitter
bande-son	 bandeson
bas-côté	 bascôté
bas-côtés	 bascôtés
base-ball	 basebal
bas-fonds	 basfonds
basket-ball	 basketball
bas-relief	 basrelief
bas-reliefs	 basreliefs
basse-cour	 bassecour
bas-ventre	 basventre
bat-flanc	 batflanc
beau-fils	 beaufils
beau-frère	 beaufrère
beau-père	 beaupère
beaux-arts	 beauxarts
beaux-frères	 beauxfrères
beaux-parents	 beauxparents
bec-de-lièvre	 becdelièvre
belle-fille	 bellefille
belle-mère	 bellemère
belle-sœur	 bellesœur
belles-sœurs	 bellessœurs
best-seller	 bestseller
bien-aimé	 bienaimé
bien-aimée	 bienaimée
bien-aimés	 bienaimés
bien aise	 bienaise
bien-être	 bienêtre
bien-fondé	 bienfondé
bien sûr	 biensûr
black-out	 blackout
bloc-notes	 blocnotes
bon cœur	 boncœur
bon marché	 bonmarché
bonne humeur	 bonnehumeur
bonne santé	 bonnesanté
