agente immobiliare	 agenteimmobiliare
agente speciale	 agentespeciale
albero genealogico	 alberogenealogico
albero maestro	 alberomaestro
alta marea	 altamarea
alta società	 altasocietà
america latina	 americalatina
amministratore delegato	 amministratoredelegato
angelo custode	 angelocustode
animale domestico	 animaledomestico
animali domestici	 animalidomestici
anno scolastico	 annoscolastico
armata rossa	 armatarossa
arti marziali	 artimarziali
assistente sociale	 assistentesociale
auto ironia	 autoironia
auto ironico	 autoironico
auto-commiserazione	 autocommiserazione
auto-compiacimento	 autocompiacimento
auto-controllo	 autocontrollo
auto-convincimento	 autoconvincimento
auto-ironia	 autoironia
auto-ironico	 autoironico
babbo natale	 babbonatale
baby sitter	 babysitter
base militare	 basemilitare
berlino est	 berlinoest
berlino ovest	 berlinoovest
beverly hills	 beverlyhills
bloc notes	 blocnotes
blue jeans	 bluejeans
bomba atomica	 bombaatomica
boy scout	 boyscout
british museum	 britishmuseum
buon cuore	 buoncuore
buon senso	 buonsenso
buon umore	 buonumore
campagna elettorale	 campagnaelettorale
campo profughi	 campoprofughi
capitano distrettuale	 capitanodistrettuale
capitol city	 capitolcity
capro espiatorio	 caproespiatorio
carro armato	 carroarmato
carro funebre	 carrofunebre
carta geografica	 cartageografica
carte geografiche	 cartegeografiche
cartoni animati	 cartonianimati
central park	 centralpark
centri commerciali	 centricommerciali
chewing gum	 chewinggum
chiave inglese	 chiaveinglese
chiesa cattolica	 chiesacattolica
chiudere occhio	 chiudereocchio
città del messico	 cittàdelmessico
colonna vertebrale	 colonnavertebrale
colpo apoplettico	 colpoapoplettico
comitato centrale	 comitatocentrale
commesso viaggiatore	 commessoviaggiatore
conferenza stampa	 conferenzastampa
cordone ombelicale	 cordoneombelicale
corpo umano	 corpoumano
corrente elettrica	 correnteelettrica
corte marziale	 cortemarziale
corte suprema	 cortesuprema
country club	 countryclub
cristo santo	 cristosanto
croce rossa	 crocerossa
cuoio capelluto	 cuoiocapelluto
cuor contento	 cuorcontento
déjà vu	 déjàvu
déjà-vu	 déjàvu
deja vu	 dejavu
deja-vu	 dejavu
dietro front	 dietrofront
dio onnipotente	 dioonnipotente
direttore generale	 direttoregenerale
diritti umani	 dirittiumani
don giovanni	 dongiovanni
e mail	 email
e mails	 emails
e-mail	 email
e-mails	 emails
effetti personali	 effettipersonali
energia elettrica	 energiaelettrica
esercizio fisico	 eserciziofisico
essere umano	 essereumano
essere vivente	 esserevivente
esseri umani	 esseriumani
esseri viventi	 esseriviventi
estremo oriente	 estremooriente
ex marito	 exmarito
ex moglie	 exmoglie
farla franca	 farlafranca
fast food	 fastfood
fast-food	 fastfood
fico secco	 ficosecco
fila indiana	 filaindiana
fine settimana	 finesettimana
forze armate	 forzearmate
generi alimentari	 generialimentari
george washington	 georgewashington
giudice istruttore	 giudiceistruttore
grande magazzino	 grandemagazzino
grandi magazzini	 grandimagazzini
great falls	 greatfalls
guardia reale	 guardiareale
hard disk	 harddisk
high street	 highstreet
hot dog	 hotdog
hyde park	 hydepark
in balia	 inbalia
in balìa	 inbalìa
in colpa	 incolpa
in grado	 ingrado
in pena	 inpena
in pensiero	 inpensiero
in vena	 invena
intervento chirurgico	 interventochirurgico
investigatore privato	 investigatoreprivato
juke box	 jukebox
land cruiser	 landcruiser
land rover	 landrover
lavori forzati	 lavoriforzati
lecca lecca	 leccalecca
letto matrimoniale	 lettomatrimoniale
linea ferroviaria	 lineaferroviaria
long island	 longisland
los angeles	 losangeles
luce elettrica	 luceelettrica
luci rosse	 lucirosse
luna park	 lunapark
macchina fotografica	 macchinafotografica
macchine fotografiche	 macchinefotografiche
madison avenue	 madisonavenue
madre superiora	 madresuperiora
main street	 mainstreet
mal umore	 malumore
mar mediterraneo	 marmediterraneo
mar nero	 marnero
mar rosso	 marrosso
maria maddalena	 mariamaddalena
martin luther	 martinluther
medico legale	 medicolegale
medio oriente	 mediooriente
medio evo	 medioevo
medio-evo	 medioevo
mercato nero	 mercatonero
mille pezzi	 millepezzi
monna lisa	 monnalisa
monte cristo	 montecristo
new england	 newengland
new hampshire	 newhampshire
new jersey	 newjersey
new mexico	 newmexico
new orleans	 neworleans
new york	 newyork
new yorker	 newyorker
night club	 nightclub
north carolina	 northcarolina
nuova zelanda	 nuovazelanda
paesi bassi	 paesibassi
park avenue	 parkavenue
part time	 parttime
passivo-aggressivo	 passivoaggressivo
pearl harbor	 pearlharbor
pian piano	 pianpiano
piazza pulita	 piazzapulita
ping pong	 pingpong
polizia segreta	 poliziasegreta
polo nord	 polonord
polo sud	 polosud
pompe funebri	 pompefunebri
porca miseria	 porcamiseria
porca puttana	 porcaputtana
post traumatico	 posttraumatico
post-traumatico	 posttraumatico
posta elettronica	 postaelettronica
prima comunione	 primacomunione
primo ministro	 primoministro
procuratore distrettuale	 procuratoredistrettuale
procuratore generale	 procuratoregenerale
proprietari terrieri	 proprietariterrieri
proprietario terriero	 proprietarioterriero
pubbliche relazioni	 pubblicherelazioni
pubblici ministeri	 pubbliciministeri
pubblico ministero	 pubblicoministero
quattr'occhi	 quattrocchi
quattr’occhi	 quattrocchi
quattro chiacchiere	 quattrochiacchiere
quinta avenue	 quintaavenue
raggi x	 raggix
razza umana	 razzaumana
regina vittoria	 reginavittoria
regno unito	 regnounito
reverenda madre	 reverendamadre
roast beef	 roastbeef
rolls royce	 rollsroyce
sala operatoria	 salaoperatoria
san antonio	 sanantonio
san diego	 sandiego
san francesco	 sanfrancesco
san francisco	 sanfrancisco
san giorgio	 sangiorgio
san giuseppe	 sangiuseppe
san juan	 sanjuan
san lorenzo	 sanlorenzo
san marco	 sanmarco
san martino	 sanmartino
san michele	 sanmichele
san nicola	 sannicola
san paolo	 sanpaolo
san pietro	 sanpietro
san pietroburgo	 sanpietroburgo
sancta sanctorum	 sanctasanctorum
sant antonio	 santantonio
santa cruz	 santacruz
santa monica	 santamonica
santo cielo	 santocielo
santo dio	 santodio
santo domingo	 santodomingo
santo stefano	 santostefano
scarica elettrica	 scaricaelettrica
scossa elettrica	 scossaelettrica
scotland yard	 scotlandyard
scuola superiore	 scuolasuperiore
scuole superiori	 scuolesuperiori
sede centrale	 sedecentrale
segretario generale	 segretariogenerale
segreteria telefonica	 segreteriatelefonica
semi incoscienza	 semiincoscienza
semi-incoscienza	 semiincoscienza
senso di colpa	 sensodicolpa
senza dubbio	 senzadubbio
senza fiato	 senzafiato
sergente maggiore	 sergentemaggiore
serial killer	 serialkiller
servizi segreti	 servizisegreti
servizi sociali	 servizisociali
servizio segreto	 serviziosegreto
sia lodato	 sialodato
sicuro di sè	 sicurodisè
sistema nervoso	 sistemanervoso
sistema solare	 sistemasolare
soldato semplice	 soldatosemplice
south carolina	 southcarolina
st aubert	 staubert
st james	 stjames
st john	 stjohn
st louis	 stlouis
st paul	 stpaul
stati uniti	 statiuniti
station wagon	 stationwagon
stazione ferroviaria	 stazioneferroviaria
studio legale	 studiolegale
sud africa	 sudafrica
sud america	 sudamerica
sui nervi	 suinervi
t shirt	 tshirt
t shirts	 tshirts
t-shirt	 tshirt
t-shirts	 tshirts
talk show	 talkshow
talk-show	 talkshow
tape recorder	 taperecorder
tenente colonnello	 tenentecolonnello
terapia intensiva	 terapiaintensiva
terzo grado	 terzogrado
tic tac	 tictac
times square	 timessquare
top secret	 topsecret
torcia elettrica	 torciaelettrica
torri gemelle	 torrigemelle
ufficiale medico	 ufficialemedico
unione sovietica	 unionesovietica
venditore ambulante	 venditoreambulante
vergine maria	 verginemaria
via lattea	 vialattea
viet nam	 vietnam
wall street	 wallstreet
washington, d.c.	 washingtondc
washington d.c.	 washingtondc
week end	 weekend
week-end	 weekend
west end	 westend
west side	 westside
zig zag	 zigzag
